Name;Score;T. Energy;I. Energy;vdW Energy;Electrostatic Energy;RMSD
11996452_10;-9.009;-1.513;-23.085;-22.343;-0.742;0.000
11996452_11;-8.933;-1.291;-22.207;-21.658;-0.549;0.000
11996452_3;-8.927;-1.684;-22.045;-21.629;-0.416;0.000
11996452_8;-8.922;-0.746;-22.422;-21.480;-0.942;0.000
11996452_2;-8.886;-0.727;-21.816;-21.202;-0.614;0.000
11996452_4;-8.875;-1.128;-22.246;-20.958;-1.288;0.000
11996452_5;-8.813;-2.196;-23.737;-19.864;-3.873;0.000
11996452_6;-8.779;1.490;-21.535;-20.005;-1.530;0.000
5281519;-8.774;13.433;-20.573;-20.179;-0.394;0.000
11996452_1;-8.708;-0.899;-19.918;-19.559;-0.359;0.000
11996452_9;-8.684;0.030;-22.792;-18.566;-4.226;0.000
11996452_7;-8.680;1.474;-20.029;-19.200;-0.829;0.000
11996452;-8.606;0.136;-22.829;-17.632;-5.197;0.000
